"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Swag Labs - Login: AS a glitch_user, I want to log in succesfully","","0","0","2","2","0"
"","Swag Labs - Login: AS a locked_out_user, I want to log in succesfully","","0","0","2","2","0"
"","Swag Labs - Login: AS a problem_user, I want to log in succesfully","","0","0","2","2","0"
"","Swag Labs - Login: AS a error_user, I want to log in succesfully","","0","0","2","2","0"
"","Swag Labs - Login: AS a visual_user, I want to log in succesfully","","0","0","2","2","0"
"","Swag Labs - Login: AS a standard_user, I want to log in succesfully","","0","0","2","2","0"
